,PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,LATITUDE,LONGITUDE,PRICE,DAYS ON MARKET,COUNTY,median_sale_price,median_sale_ppsf,total_homes_sold,percent_homes_sold_with_price_drops,price_drops,inventory,total_active_listings,median_active_list_price
36,Single Family Residential,Stafford,22554,4.0,3.5,4174.0,12127.0,1992.0,51.0,38.462486,-77.440422,600000,9.0,STAFFORD COUNTY,,,,,,,,
37,Single Family Residential,Stafford,22554,4.0,2.5,3801.0,13590.0,2011.0,61.0,38.468239,-77.3973269,720000,9.0,STAFFORD COUNTY,,,,,,,,
38,Townhouse,Stafford,22554,3.0,1.5,1276.0,2143.0,1974.0,85.0,38.4262669,-77.4097031,279900,10.0,STAFFORD COUNTY,,,,,,,,
39,Single Family Residential,Stafford,22554,4.0,3.5,2726.0,21187.0,1994.0,75.0,38.440133,-77.3995691,550000,10.0,STAFFORD COUNTY,,,,,,,,
40,Single Family Residential,Stafford,22554,4.0,3.5,3756.0,7805.0,2023.0,135.0,38.441086,-77.43465,800000,10.0,STAFFORD COUNTY,,,,,,,,
41,Single Family Residential,Stafford,22554,6.0,5.0,4361.0,12632.0,2001.0,91.0,38.4438018,-77.4165632,760000,11.0,STAFFORD COUNTY,,,,,,,,
42,Single Family Residential,Stafford,22554,4.0,3.5,3308.0,11207.0,1994.0,20.0,38.4587327,-77.4624663,550000,11.0,STAFFORD COUNTY,,,,,,,,
43,Single Family Residential,Stafford,22554,4.0,2.5,2309.0,13342.0,1986.0,142.0,38.4561231,-77.3892996,524900,12.0,STAFFORD COUNTY,,,,,,,,
44,Single Family Residential,Stafford,22554,4.0,3.5,3472.0,151018.0,1992.0,,38.4805118,-77.3571401,599000,12.0,STAFFORD COUNTY,,,,,,,,
45,Single Family Residential,Stafford,22554,5.0,3.5,3094.0,4870.0,2019.0,138.0,38.4470447,-77.4367377,645000,12.0,STAFFORD COUNTY,,,,,,,,
46,Single Family Residential,Stafford,22554,4.0,3.5,4242.0,15450.0,2000.0,82.0,38.4490001,-77.4126624,599900,12.0,STAFFORD COUNTY,,,,,,,,
47,Single Family Residential,Stafford,22554,5.0,3.5,3552.0,6128.0,2020.0,138.0,38.4440553,-77.4334204,700000,12.0,STAFFORD COUNTY,,,,,,,,
48,Single Family Residential,Stafford,22554,4.0,3.0,3352.0,8624.0,2013.0,61.0,38.4659623,-77.4005556,725000,12.0,STAFFORD COUNTY,,,,,,,,
49,Single Family Residential,Stafford,22554,5.0,2.5,2560.0,18425.0,1973.0,142.0,38.4662048,-77.3705073,515000,14.0,STAFFORD COUNTY,,,,,,,,
50,Single Family Residential,Stafford,22554,5.0,3.0,2744.0,59829.0,1975.0,,38.4295715,-77.4393826,579900,17.0,STAFFORD COUNTY,,,,,,,,
51,Single Family Residential,Stafford,22554,3.0,2.0,1849.0,44431.0,1976.0,,38.4382035,-77.3885372,500000,17.0,STAFFORD COUNTY,,,,,,,,
52,Single Family Residential,Stafford,22554,5.0,4.5,4439.0,7736.0,2017.0,138.0,38.4423213,-77.4357067,720000,17.0,STAFFORD COUNTY,,,,,,,,
53,Single Family Residential,Stafford,22554,5.0,3.5,4074.0,6072.0,2017.0,138.0,38.4439961,-77.4385403,725000,18.0,STAFFORD COUNTY,,,,,,,,
54,Single Family Residential,Stafford,22554,5.0,4.5,4847.0,135297.0,2007.0,42.0,38.4444189,-77.3596746,930000,19.0,STAFFORD COUNTY,,,,,,,,
55,Townhouse,Stafford,22554,3.0,2.5,2024.0,3698.0,2021.0,83.0,38.429538,-77.413888,514900,19.0,STAFFORD COUNTY,,,,,,,,
56,Single Family Residential,Stafford,22554,4.0,3.0,5348.0,130897.0,2002.0,65.0,38.3805237,-77.3163335,1019999,19.0,STAFFORD COUNTY,,,,,,,,
57,Single Family Residential,Stafford,22554,5.0,5.0,4290.0,20521.0,1997.0,108.0,38.447032,-77.4752612,779000,24.0,STAFFORD COUNTY,,,,,,,,
58,Single Family Residential,Stafford,22554,4.0,3.5,3716.0,13625.0,2018.0,138.0,38.4447098,-77.4305064,829900,27.0,STAFFORD COUNTY,,,,,,,,
59,Vacant Land,Stafford,22554,,,,1228522.0,,,38.4037057,-77.3894679,439600,27.0,STAFFORD COUNTY,,,,,,,,
60,Townhouse,Stafford,22554,3.0,3.5,2118.0,2121.0,2023.0,135.0,38.467823,-77.425652,523698,27.0,STAFFORD COUNTY,,,,,,,,
